targy_nev,kredit,felelos,nyelv,link
A jóléti rendszer generációs megközelítésben,6,Dr. Gál Róbert,magyar,https://www.uni-corvinus.hu/tantargyak/GKKK001LMMB?semester=2025/26/1
A jövedelem adóztatása,3,Dr. Czoboly Gergely István,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NAV01B?semester=2019/20/2
A jövő vállalkozásai Budapesten,magyar,Bartha Attila,magyar,https://www.uni-corvinus.hu/tantargyak/VALL042NMBB?semester=2024/25/2
A kapitalizmus intézményei,3,Dr. Székely-Doby András,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NBK57M?semester=2020/21/1
A kelet-ázsiai fejlődés politikai gazdaságtana,3,Dr. Szunomár Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/4OG33NAV35B?semester=2019/20/2
A kelet-ázsiai fejlődés politikai gazdaságtana,3,Dr. Habil Kemény Ildikó,magyar,https://www.uni-corvinus.hu/tantargyak/4OG33NAV46M?semester=2019/20/2
A kommunikáció és a média különböző típusú leírásai,3,Dr. Veszelszki Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAKB2M?semester=2019/20/2
A kommunikáció kulturális keretei,3,Dr. Benczes Réka Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAKI3M?semester=2022/23/1
A kommunikáció szociálpszichológiája,3,Juhászné Dr. Klér Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAK04M?semester=2022/23/1
A kommunikáció világa,3,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCK86B?semester=2021/22/1
A kommunikáció világa,6,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCKA5B?semester=2025/26/1
A kommunikáció világa,6,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCVA5M?semester=2025/26/1
A kommunikáció világa,6,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NSZA5B?semester=2021/22/1
A kommunikáció világa: kutatás és gyakorlat,6,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKC2B?semester=2024/25/1
A kommunikáció világa: kutatás és gyakorlat,6,Pelle Veronika,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCVC2M?semester=2021/22/1
A kommunikáció- és médiakutatás módszertana,3,Dr. Benczes Réka Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAKI2M?semester=2022/23/1
A kommunikációs tréning és tanácsadás módszerei,5,Szabó Zsolt Péter,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAKJ4M?semester=2024/25/2
A könyvvizsgálat rendszere,5,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/2PU51NCK08M?semester=2025/26/1
A könyvvizsgálat rendszere,5,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/2PU51EAK02M?semester=2025/26/1
A könyvvizsgálat rendszere,6,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/SZAM028NMMB?semester=2025/26/1
A könyvvizsgálat rendszere – DUÁLIS,5,Dr. Lukács János,magyar,https://www.uni-corvinus.hu/tantargyak/2PU51NCK08MD?semester=2020/21/1
A környezetbarát fogyasztás vállalati támogatása,5,Prof. Dr. Zsóka Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/2KG23NCK01M?semester=2022/23/1
A következtető statisztika elmélete és gyakorlata,3,Oravecz Beatrix,magyar,https://www.uni-corvinus.hu/tantargyak/4ST14NAK10M?semester=2020/21/1
A közélet-kommunikáció,6,Dr. Habil Bokor Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NGKB6B?semester=2025/26/1
